BDX,(['stat', 52.304121762929796], ['p', 4.388380421207835e-12], ['desc', DescribeResult(nobs=252, minmax=(-0.11797620780598361, 0.11374028379343026), mean=9.782494970436794e-05, variance=0.0005319821490049725, skewness=-0.4944948114455635, kurtosis=6.3811121827388)])
BBY,(['stat', 38.301871665352316], ['p', 4.817860762185741e-09], ['desc', DescribeResult(nobs=252, minmax=(-0.15251640374688702, 0.16788322453460358), mean=0.0016264178222443, variance=0.0010760487842608616, skewness=0.12132457121094258, kurtosis=5.398904601634284)])
BIO,(['stat', 15.269856911968299], ['p', 0.00048327318877199575], ['desc', DescribeResult(nobs=252, minmax=(-0.09867120837655219, 0.08826309601851778), mean=0.002163106932588847, variance=0.0006785838855164334, skewness=-0.07696443694034782, kurtosis=1.9843396808477003)])
BIIB,(['stat', 241.56376477424283], ['p', 3.5082857980635796e-53], ['desc', DescribeResult(nobs=252, minmax=(-0.2816661632982739, 0.4397393335959552), mean=0.0007575695608945088, variance=0.0019233252815582288, skewness=3.254623628791191, kurtosis=46.0358890184635)])
BLK,(['stat', 35.94645539486135], ['p', 1.5643228497970246e-08], ['desc', DescribeResult(nobs=252, minmax=(-0.1365460303771272, 0.13523912147153316), mean=0.001782945900831091, variance=0.0009221401859777719, skewness=-0.08195994344963331, kurtosis=5.024464948911)])
BA,(['stat', 37.85416098293559], ['p', 6.026614109436885e-09], ['desc', DescribeResult(nobs=252, minmax=(-0.2384841190698378, 0.24318605379189218), mean=-0.00037372685075498995, variance=0.003063558108576359, skewness=0.2865987175730252, kurtosis=4.789020944668127)])
BKNG,(['stat', 58.61472628362581], ['p', 1.8705697565546176e-13], ['desc', DescribeResult(nobs=252, minmax=(-0.11237433316182843, 0.18752066726524186), mean=0.0006625507674782474, variance=0.0010979941440841564, skewness=0.7322039531146757, kurtosis=5.679704452207153)])
BWA,(['stat', 22.333419476076706], ['p', 1.4137075577184004e-05], ['desc', DescribeResult(nobs=252, minmax=(-0.11484973582814417, 0.1615782441690743), mean=0.0002679251710677724, variance=0.0010313880358787772, skewness=-0.0006895479253524935, kurtosis=2.9235854355188176)])
BXP,(['stat', 46.77974318465091], ['p', 6.948768367818482e-11], ['desc', DescribeResult(nobs=252, minmax=(-0.17196304900545978, 0.20923570605271458), mean=-0.0006585242385083954, variance=0.001357928987623072, skewness=0.24033536166413916, kurtosis=6.775618354933705)])
BSX,(['stat', 47.394050305972996], ['p', 5.1110807041544363e-11], ['desc', DescribeResult(nobs=252, minmax=(-0.14785036570590893, 0.09252804478156285), mean=-0.0002933703359648424, variance=0.0007777993794181049, skewness=-0.7228839161248205, kurtosis=3.788790464079108)])
BMY,(['stat', 23.56026506188834], ['p', 7.655145430385986e-06], ['desc', DescribeResult(nobs=252, minmax=(-0.07117763822410161, 0.0684193087828402), mean=0.00028687084907537516, variance=0.00035480166345000833, skewness=-0.09191303362231681, kurtosis=3.041247793217634)])
AVGO,(['stat', 86.83028917700487], ['p', 1.3965042900285305e-19], ['desc', DescribeResult(nobs=252, minmax=(-0.19912895189268554, 0.15833683190607095), mean=0.0021918960173584394, variance=0.0010443986043843561, skewness=-0.9377179838872128, kurtosis=10.392699040835064)])
BR,(['stat', 46.07279969594066], ['p', 9.895065266741161e-11], ['desc', DescribeResult(nobs=252, minmax=(-0.08808288952102328, 0.1254449596184819), mean=0.0009614719451533324, variance=0.0005246628956237434, skewness=0.39314211559376183, kurtosis=5.790799275555546)])
CHRW,(['stat', 41.49255240397811], ['p', 9.77252354458453e-10], ['desc', DescribeResult(nobs=252, minmax=(-0.11446562489574552, 0.0932873979624429), mean=0.0008064384125724464, variance=0.00043729286224751204, skewness=-0.24175493790120064, kurtosis=5.654123707885409)])
COG,(['stat', 42.51373120475439], ['p', 5.864899389473086e-10], ['desc', DescribeResult(nobs=252, minmax=(-0.11768174599989678, 0.15629424851036378), mean=0.0010121764974557266, variance=0.0011194030694470238, skewness=0.6430610173957836, kurtosis=3.572020128658994)])
CDNS,(['stat', 27.647362147457894], ['p', 9.918627721776764e-07], ['desc', DescribeResult(nobs=252, minmax=(-0.12598051213057826, 0.13390618439861224), mean=0.002857464458914806, variance=0.0008610824239130634, skewness=0.013186869544497784, kurtosis=3.6890728265590633)])
CPB,(['stat', 39.21448989470936], ['p', 3.052683041290714e-09], ['desc', DescribeResult(nobs=252, minmax=(-0.0747379009558895, 0.10108604920858388), mean=0.00018388201382874223, variance=0.0004164898379665761, skewness=0.2898585273305642, kurtosis=5.019460370558329)])
COF,(['stat', 36.58940487548053], ['p', 1.1342575616731524e-08], ['desc', DescribeResult(nobs=252, minmax=(-0.23874252474586943, 0.18754380765959322), mean=0.0014712829140974416, variance=0.002108946046078177, skewness=-0.20688308838468325, kurtosis=4.857875137999623)])
CAH,(['stat', 29.05200047437313], ['p', 4.914035084477222e-07], ['desc', DescribeResult(nobs=252, minmax=(-0.12867420352786152, 0.12337807784178456), mean=0.000642932903001405, variance=0.0008359934323558179, skewness=0.2893367936736463, kurtosis=3.366263470149298)])
KMX,(['stat', 48.54636680007169], ['p', 2.8727007722396444e-11], ['desc', DescribeResult(nobs=252, minmax=(-0.20581010515971554, 0.18071276297718808), mean=0.0011392754789725464, variance=0.0013408008980965453, skewness=-0.2398762620285733, kurtosis=7.18470688335122)])
CCL,(['stat', 35.923233596077054], ['p', 1.5825918998321974e-08], ['desc', DescribeResult(nobs=252, minmax=(-0.3318147198362663, 0.39290885854428725), mean=-0.0005634435767333263, variance=0.005827876068815336, skewness=-0.010364271869321444, kurtosis=5.073734662766897)])
CARR,(['stat', 101.33308006274272], ['p', 9.903785992217947e-23], ['desc', DescribeResult(nobs=209, minmax=(-0.1275362930174545, 0.27409626045481716), mean=0.006627054360161728, variance=0.0015874219272032932, skewness=1.5418363570065112, kurtosis=10.911426642302315)])
CTLT,(['stat', 54.688353753837305], ['p', 1.332216689923404e-12], ['desc', DescribeResult(nobs=252, minmax=(-0.1873956570402342, 0.13049893223160547), mean=0.003058197112991555, variance=0.0010930035631489, skewness=-0.5616508494693458, kurtosis=6.350362796489243)])
CAT,(['stat', 37.152286512316905], ['p', 8.56019166597543e-09], ['desc', DescribeResult(nobs=252, minmax=(-0.14282184283246224, 0.10332064818079068), mean=0.0016173862027505435, variance=0.000811717113237415, skewness=-0.5404836807188415, kurtosis=3.3892496232629217)])
CBOE,(['stat', 58.068918389651785], ['p', 2.457505998906171e-13], ['desc', DescribeResult(nobs=252, minmax=(-0.1433250541954807, 0.13524985499799347), mean=-0.00033350200184555155, variance=0.0007562409604748069, skewness=-0.5208515893667717, kurtosis=7.479007383372336)])
CBRE,(['stat', 31.40256646802869], ['p', 1.5171179006295438e-07], ['desc', DescribeResult(nobs=252, minmax=(-0.17205690725441403, 0.168032818210212), mean=0.0009534806163131231, variance=0.0015638100242732049, skewness=0.11514383972683478, kurtosis=4.190372519922877)])
CDW,(['stat', 33.64207516558383], ['p', 4.9512653053596394e-08], ['desc', DescribeResult(nobs=252, minmax=(-0.1414609737492214, 0.10746698526558629), mean=0.0002498879155416515, variance=0.0009942876667580671, skewness=-0.34468587741056067, kurtosis=3.8423318511468914)])
CE,(['stat', 58.75677912730502], ['p', 1.7423184089312946e-13], ['desc', DescribeResult(nobs=252, minmax=(-0.16058497591373133, 0.09964788189952256), mean=0.0011932183922442718, variance=0.0011585347754539514, skewness=-0.858388059540567, kurtosis=4.629315257600624)])
CNC,(['stat', 33.46700112930604], ['p', 5.4042202672132515e-08], ['desc', DescribeResult(nobs=252, minmax=(-0.15007080322990907, 0.1560244400450732), mean=0.0005216552645190329, variance=0.001194785584322704, skewness=0.37635023830418374, kurtosis=3.675835994419443)])
CNP,(['stat', 62.55857864978299], ['p', 2.6036178980125604e-14], ['desc', DescribeResult(nobs=252, minmax=(-0.19742770253808917, 0.17387830686797145), mean=-8.602037469908672e-05, variance=0.001378984972736041, skewness=-0.5212861590861901, kurtosis=8.632251271278601)])
CERN,(['stat', 11.843575807725102], ['p', 0.0026804035863848574], ['desc', DescribeResult(nobs=252, minmax=(-0.062195622460573974, 0.070488284267467), mean=0.00047981764852961944, variance=0.0004033330126676205, skewness=0.15441340684672755, kurtosis=1.487417699221874)])
CF,(['stat', 31.468846650694253], ['p', 1.4676644468308586e-07], ['desc', DescribeResult(nobs=252, minmax=(-0.15390874095496743, 0.16243192232312298), mean=0.0008226300209783272, variance=0.0013897369609303112, skewness=-0.3139152361455001, kurtosis=3.6346098789947314)])
SCHW,(['stat', 50.38038651060732], ['p', 1.1482542754101329e-11], ['desc', DescribeResult(nobs=252, minmax=(-0.1233425692345026, 0.19134721581396996), mean=0.001363146361791119, variance=0.0011590429410926568, skewness=0.6272485429424814, kurtosis=4.97779798738301)])
CHTR,(['stat', 63.5518855632356], ['p', 1.5844677084567245e-14], ['desc', DescribeResult(nobs=252, minmax=(-0.1432880881129468, 0.09853841279656783), mean=0.0010907675198816508, variance=0.0004956072343433592, skewness=-0.541534159957853, kurtosis=8.69471839275873)])
CVX,(['stat', 58.67958113485722], ['p', 1.8108849374108214e-13], ['desc', DescribeResult(nobs=252, minmax=(-0.2212477051934153, 0.22740696835680785), mean=2.95894605545465e-05, variance=0.0014983466175569901, skewness=-0.17483000989683564, kurtosis=10.276703176144348)])
CMG,(['stat', 44.73484311422105], ['p', 1.931755882184568e-10], ['desc', DescribeResult(nobs=252, minmax=(-0.11288874110168223, 0.15249034685841334), mean=0.002397712992957221, variance=0.0009980375513782586, skewness=0.45551406882671425, kurtosis=5.142455656465232)])
CB,(['stat', 46.18317942310797], ['p', 9.363754308267605e-11], ['desc', DescribeResult(nobs=252, minmax=(-0.16773340692494876, 0.08874736290985208), mean=0.0006390317973346844, variance=0.0009368843576150503, skewness=-0.5989508587491422, kurtosis=4.446166472059738)])
CHD,(['stat', 79.13180405233263], ['p', 6.5576325609900236e-18], ['desc', DescribeResult(nobs=252, minmax=(-0.07422058230102246, 0.13668706191136004), mean=0.000946357211854392, variance=0.0004302529443113439, skewness=0.8690228906123604, kurtosis=9.061041826330579)])
